Source IP,Destination IP,Type,Record,Size (bytes),Domain,Time Stamp,Z-value
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:09:52.212977,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:59.549267,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:00.050927,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:02.667938,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:03.180270,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:07.950747,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:08.459940,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:12.364121,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:12.856593,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:15.623162,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:16.095603,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:20.045362,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:20.535385,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:26.657804,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:27.128107,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:30.474502,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:30.958147,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:37.023833,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:37.565935,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:42.601705,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:43.091436,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:50.369968,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:50.823837,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:56.368460,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:56.872913,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:11:04.119131,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:11:04.589839,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:11:11.353380,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:11:11.880382,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:11:15.960703,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:11:16.473546,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:11:22.124070,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:11:22.590649,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:11:27.764295,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:11:28.243434,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:11:33.758707,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:11:34.265000,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:11:38.518263,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:11:39.018944,0
